Year,Ages,Sex,Population
2000,10 - 14,MALE,10565931
2000,10 - 14,FEMALE,10054578
2000,15 - 19,MALE,10434648
2000,15 - 19,FEMALE,9847541
2000,20 - 24,MALE,9774847
2000,20 - 24,FEMALE,9349436
2000,25 - 29,MALE,9759683
2000,25 - 29,FEMALE,9534535
2000,30 - 34,MALE,10333425
2000,30 - 34,FEMALE,10195212
2000,35 - 39,MALE,11294181
2000,35 - 39,FEMALE,11355161
2000,40 - 44,MALE,11165975
2000,40 - 44,FEMALE,11350046
2000,45 - 49,MALE,9951512
2000,45 - 49,FEMALE,10264529
2000,50 - 54,MALE,8698949
2000,50 - 54,FEMALE,9072112
2000,55 - 59,MALE,6553267
2000,55 - 59,FEMALE,7004695
2000,60 - 64,MALE,5163500
2000,60 - 64,FEMALE,5693080
2000,65 - 69,MALE,4395270
2000,65 - 69,FEMALE,5122297
2000,70 - 74,MALE,3908870
2000,70 - 74,FEMALE,4948466
2000,75 - 79,MALE,3057450
2000,75 - 79,FEMALE,4382072
2000,80 - 84,MALE,1854417
2000,80 - 84,FEMALE,3132786
2000,85 AND OVER,MALE,1237825
2000,85 AND OVER,FEMALE,3030762
2000,UNDER 10,MALE,20309000
2000,UNDER 10,FEMALE,19369786
2001,10 - 14,MALE,10705043
2001,10 - 14,FEMALE,10190673
2001,15 - 19,MALE,10522898
2001,15 - 19,FEMALE,9873360
2001,20 - 24,MALE,10123861
2001,20 - 24,FEMALE,9676906
2001,25 - 29,MALE,9575384
2001,25 - 29,FEMALE,9314583
2001,30 - 34,MALE,10414167
2001,30 - 34,FEMALE,10266251
2001,35 - 39,MALE,11102910
2001,35 - 39,FEMALE,11131341
2001,40 - 44,MALE,11315257
2001,40 - 44,FEMALE,11495536
2001,45 - 49,MALE,10186074
2001,45 - 49,FEMALE,10500272
2001,50 - 54,MALE,9125431
2001,50 - 54,FEMALE,9522419
2001,55 - 59,MALE,6740604
2001,55 - 59,FEMALE,7191038
2001,60 - 64,MALE,5286115
2001,60 - 64,FEMALE,5819666
2001,65 - 69,MALE,4412779
2001,65 - 69,FEMALE,5120372
2001,70 - 74,MALE,3908279
2001,70 - 74,FEMALE,4902812
2001,75 - 79,MALE,3080992
2001,75 - 79,FEMALE,4381026
2001,80 - 84,MALE,1934387
2001,80 - 84,FEMALE,3218511
2001,85 AND OVER,MALE,1271328
2001,85 AND OVER,FEMALE,3073505
2001,UNDER 10,MALE,20296747
2001,UNDER 10,FEMALE,19369120
2002,10 - 14,MALE,10811892
2002,10 - 14,FEMALE,10295426
2002,15 - 19,MALE,10583375
2002,15 - 19,FEMALE,9916912
2002,20 - 24,MALE,10407426
2002,20 - 24,FEMALE,9915368
2002,25 - 29,MALE,9547097
2002,25 - 29,FEMALE,9266045
2002,30 - 34,MALE,10434021
2002,30 - 34,FEMALE,10271816
2002,35 - 39,MALE,10863023
2002,35 - 39,FEMALE,10883560
2002,40 - 44,MALE,11353441
2002,40 - 44,FEMALE,11525318
2002,45 - 49,MALE,10453259
2002,45 - 49,FEMALE,10774673
2002,50 - 54,MALE,9130319
2002,50 - 54,FEMALE,9537311
2002,55 - 59,MALE,7306523
2002,55 - 59,FEMALE,7767133
2002,60 - 64,MALE,5479160
2002,60 - 64,FEMALE,6024715
2002,65 - 69,MALE,4447471
2002,65 - 69,FEMALE,5137861
2002,70 - 74,MALE,3888038
2002,70 - 74,FEMALE,4842743
2002,75 - 79,MALE,3108513
2002,75 - 79,FEMALE,4374014
2002,80 - 84,MALE,2013331
2002,80 - 84,FEMALE,3307582
2002,85 AND OVER,MALE,1310745
2002,85 AND OVER,FEMALE,3117581
2002,UNDER 10,MALE,20285125
2002,UNDER 10,FEMALE,19364813
2003,10 - 14,MALE,10854710
2003,10 - 14,FEMALE,10332228
2003,15 - 19,MALE,10643338
2003,15 - 19,FEMALE,9990124
2003,20 - 24,MALE,10615373
2003,20 - 24,FEMALE,10091929
2003,25 - 29,MALE,9614496
2003,25 - 29,FEMALE,9330581
2003,30 - 34,MALE,10342291
2003,30 - 34,FEMALE,10191536
2003,35 - 39,MALE,10625897
2003,35 - 39,FEMALE,10629183
2003,40 - 44,MALE,11342231
2003,40 - 44,FEMALE,11529094
2003,45 - 49,MALE,10685380
2003,45 - 49,FEMALE,10999918
2003,50 - 54,MALE,9281863
2003,50 - 54,FEMALE,9707954
2003,55 - 59,MALE,7619862
2003,55 - 59,FEMALE,8088064
2003,60 - 64,MALE,5773436
2003,60 - 64,FEMALE,6337038
2003,65 - 69,MALE,4536916
2003,65 - 69,FEMALE,5215278
2003,70 - 74,MALE,3862351
2003,70 - 74,FEMALE,4780049
2003,75 - 79,MALE,3141503
2003,75 - 79,FEMALE,4373562
2003,80 - 84,MALE,2072530
2003,80 - 84,FEMALE,3364375
2003,85 AND OVER,MALE,1367759
2003,85 AND OVER,FEMALE,3186480
2003,UNDER 10,MALE,20313138
2003,UNDER 10,FEMALE,19401560
2004,10 - 14,MALE,10813838
2004,10 - 14,FEMALE,10293471
2004,15 - 19,MALE,10769486
2004,15 - 19,FEMALE,10112498
2004,20 - 24,MALE,10811034
2004,20 - 24,FEMALE,10187487
2004,25 - 29,MALE,9827724
2004,25 - 29,FEMALE,9509459
2004,30 - 34,MALE,10198756
2004,30 - 34,FEMALE,10032648
2004,35 - 39,MALE,10449215
2004,35 - 39,FEMALE,10410179
2004,40 - 44,MALE,11360492
2004,40 - 44,FEMALE,11537070
2004,45 - 49,MALE,10852919
2004,45 - 49,FEMALE,11159553
2004,50 - 54,MALE,9490584
2004,50 - 54,FEMALE,9929619
2004,55 - 59,MALE,7987819
2004,55 - 59,FEMALE,8473243
2004,60 - 64,MALE,6000706
2004,60 - 64,FEMALE,6581841
2004,65 - 69,MALE,4649128
2004,65 - 69,FEMALE,5318820
2004,70 - 74,MALE,3836900
2004,70 - 74,FEMALE,4721262
2004,75 - 79,MALE,3152661
2004,75 - 79,FEMALE,4331371
2004,80 - 84,MALE,2139407
2004,80 - 84,FEMALE,3439445
2004,85 AND OVER,MALE,1419915
2004,85 AND OVER,FEMALE,3243681
2004,UNDER 10,MALE,20401182
2004,UNDER 10,FEMALE,19492696
2005,10 - 14,MALE,10671253
2005,10 - 14,FEMALE,10159655
2005,15 - 19,MALE,10934779
2005,15 - 19,FEMALE,10267886
2005,20 - 24,MALE,10929967
2005,20 - 24,FEMALE,10216003
2005,25 - 29,MALE,10074144
2005,25 - 29,FEMALE,9749089
2005,30 - 34,MALE,9985338
2005,30 - 34,FEMALE,9819922
2005,35 - 39,MALE,10420329
2005,35 - 39,FEMALE,10355090
2005,40 - 44,MALE,11247719
2005,40 - 44,FEMALE,11418854
2005,45 - 49,MALE,11024604
2005,45 - 49,FEMALE,11323725
2005,50 - 54,MALE,9727945
2005,50 - 54,FEMALE,10168115
2005,55 - 59,MALE,8403174
2005,55 - 59,FEMALE,8909182
2005,60 - 64,MALE,6201789
2005,60 - 64,FEMALE,6788405
2005,65 - 69,MALE,4740874
2005,65 - 69,FEMALE,5404179
2005,70 - 74,MALE,3852578
2005,70 - 74,FEMALE,4706000
2005,75 - 79,MALE,3180064
2005,75 - 79,FEMALE,4312145
2005,80 - 84,MALE,2192190
2005,80 - 84,FEMALE,3481379
2005,85 AND OVER,MALE,1496978
2005,85 AND OVER,FEMALE,3345217
2005,UNDER 10,MALE,20508556
2005,UNDER 10,FEMALE,19601327
2006,10 - 14,MALE,10538484
2006,10 - 14,FEMALE,10033968
2006,15 - 19,MALE,11065856
2006,15 - 19,FEMALE,10391196
2006,20 - 24,MALE,11026040
2006,20 - 24,FEMALE,10226691
2006,25 - 29,MALE,10404276
2006,25 - 29,FEMALE,10059306
2006,30 - 34,MALE,9787125
2006,30 - 34,FEMALE,9589859
2006,35 - 39,MALE,10490781
2006,35 - 39,FEMALE,10417969
2006,40 - 44,MALE,11054924
2006,40 - 44,FEMALE,11192043
2006,45 - 49,MALE,11164871
2006,45 - 49,FEMALE,11462633
2006,50 - 54,MALE,9949969
2006,50 - 54,FEMALE,10395011
2006,55 - 59,MALE,8809627
2006,55 - 59,FEMALE,9349351
2006,60 - 64,MALE,6380396
2006,60 - 64,FEMALE,6969396
2006,65 - 69,MALE,4860478
2006,65 - 69,FEMALE,5529070
2006,70 - 74,MALE,3882067
2006,70 - 74,FEMALE,4713200
2006,75 - 79,MALE,3196228
2006,75 - 79,FEMALE,4284132
2006,80 - 84,MALE,2227477
2006,80 - 84,FEMALE,3495590
2006,85 AND OVER,MALE,1585524
2006,85 AND OVER,FEMALE,3461705
2006,UNDER 10,MALE,20673439
2006,UNDER 10,FEMALE,19763089
2007,10 - 14,MALE,10403854
2007,10 - 14,FEMALE,9907893
2007,15 - 19,MALE,11168769
2007,15 - 19,FEMALE,10489454
2007,20 - 24,MALE,11077228
2007,20 - 24,FEMALE,10257394
2007,25 - 29,MALE,10684897
2007,25 - 29,FEMALE,10287568
2007,30 - 34,MALE,9746569
2007,30 - 34,FEMALE,9535156
2007,35 - 39,MALE,10511602
2007,35 - 39,FEMALE,10421008
2007,40 - 44,MALE,10825797
2007,40 - 44,FEMALE,10947469
2007,45 - 49,MALE,11207915
2007,45 - 49,FEMALE,11494747
2007,50 - 54,MALE,10213705
2007,50 - 54,FEMALE,10667800
2007,55 - 59,MALE,8816436
2007,55 - 59,FEMALE,9368519
2007,60 - 64,MALE,6928401
2007,60 - 64,FEMALE,7536266
2007,65 - 69,MALE,5047518
2007,65 - 69,FEMALE,5730958
2007,70 - 74,MALE,3928559
2007,70 - 74,FEMALE,4740109
2007,75 - 79,MALE,3198291
2007,75 - 79,FEMALE,4245336
2007,80 - 84,MALE,2269383
2007,80 - 84,FEMALE,3508469
2007,85 AND OVER,MALE,1676619
2007,85 AND OVER,FEMALE,3580334
2007,UNDER 10,MALE,20947681
2007,UNDER 10,FEMALE,20021928
2008,10 - 14,MALE,10289388
2008,10 - 14,FEMALE,9805019
2008,15 - 19,MALE,11209757
2008,15 - 19,FEMALE,10519454
2008,20 - 24,MALE,11143302
2008,20 - 24,FEMALE,10318146
2008,25 - 29,MALE,10940219
2008,25 - 29,FEMALE,10461459
2008,30 - 34,MALE,9832435
2008,30 - 34,FEMALE,9596620
2008,35 - 39,MALE,10435423
2008,35 - 39,FEMALE,10338821
2008,40 - 44,MALE,10605864
2008,40 - 44,FEMALE,10693647
2008,45 - 49,MALE,11204120
2008,45 - 49,FEMALE,11497648
2008,50 - 54,MALE,10445053
2008,50 - 54,FEMALE,10888206
2008,55 - 59,MALE,8962717
2008,55 - 59,FEMALE,9536603
2008,60 - 64,MALE,7234140
2008,60 - 64,FEMALE,7853281
2008,65 - 69,MALE,5328703
2008,65 - 69,FEMALE,6034386
2008,70 - 74,MALE,4020440
2008,70 - 74,FEMALE,4819302
2008,75 - 79,MALE,3193538
2008,75 - 79,FEMALE,4201502
2008,80 - 84,MALE,2311683
2008,80 - 84,FEMALE,3522515
2008,85 AND OVER,MALE,1763460
2008,85 AND OVER,FEMALE,3687191
2008,UNDER 10,MALE,21206722
2008,UNDER 10,FEMALE,20276637
2009,10 - 14,MALE,10216274
2009,10 - 14,FEMALE,9739826
2009,15 - 19,MALE,11161603
2009,15 - 19,FEMALE,10471391
2009,20 - 24,MALE,11257508
2009,20 - 24,FEMALE,10424771
2009,25 - 29,MALE,11095781
2009,25 - 29,FEMALE,10540419
2009,30 - 34,MALE,10013447
2009,30 - 34,FEMALE,9763427
2009,35 - 39,MALE,10271690
2009,35 - 39,FEMALE,10171364
2009,40 - 44,MALE,10412286
2009,40 - 44,FEMALE,10469080
2009,45 - 49,MALE,11210791
2009,45 - 49,FEMALE,11500138
2009,50 - 54,MALE,10603676
2009,50 - 54,FEMALE,11040421
2009,55 - 59,MALE,9160469
2009,55 - 59,FEMALE,9751191
2009,60 - 64,MALE,7587670
2009,60 - 64,FEMALE,8229568
2009,65 - 69,MALE,5545014
2009,65 - 69,FEMALE,6272443
2009,70 - 74,MALE,4131610
2009,70 - 74,FEMALE,4921848
2009,75 - 79,MALE,3188028
2009,75 - 79,FEMALE,4160623
2009,80 - 84,MALE,2339288
2009,80 - 84,FEMALE,3504857
2009,85 AND OVER,MALE,1854032
2009,85 AND OVER,FEMALE,3805927
2009,UNDER 10,MALE,21387118
2009,UNDER 10,FEMALE,20452711
2010,10 - 14,FEMALE,10102606
2010,10 - 14,MALE,10578418
2010,15 - 19,FEMALE,10703592
2010,15 - 19,MALE,11278277
2010,20 - 24,FEMALE,10629837
2010,20 - 24,MALE,11072609
2010,25 - 29,FEMALE,10482598
2010,25 - 29,MALE,10661205
2010,30 - 34,FEMALE,10016967
2010,30 - 34,MALE,10051384
2010,35 - 39,FEMALE,10085491
2010,35 - 39,MALE,9991882
2010,40 - 44,FEMALE,10503933
2010,40 - 44,MALE,10399350
2010,45 - 49,FEMALE,11459930
2010,45 - 49,MALE,11175026
2010,50 - 54,FEMALE,11392209
2010,50 - 54,MALE,10959292
2010,55 - 59,FEMALE,10206705
2010,55 - 59,MALE,9587040
2010,60 - 64,FEMALE,8831161
2010,60 - 64,MALE,8157983
2010,65 - 69,FEMALE,6625772
2010,65 - 69,MALE,5894820
2010,70 - 74,FEMALE,5062734
2010,70 - 74,MALE,4273105
2010,75 - 79,FEMALE,4133095
2010,75 - 79,MALE,3186734
2010,80 - 84,FEMALE,3452130
2010,80 - 84,MALE,2306343
2010,85 AND OVER,FEMALE,3733139
2010,85 AND OVER,MALE,1810377
2010,UNDER 10,FEMALE,19827766
2010,UNDER 10,MALE,20693633
2011,10 - 14,FEMALE,10127110
2011,10 - 14,MALE,10587916
2011,15 - 19,FEMALE,10540730
2011,15 - 19,MALE,11121013
2011,20 - 24,FEMALE,10858603
2011,20 - 24,MALE,11306266
2011,25 - 29,FEMALE,10538326
2011,25 - 29,MALE,10746888
2011,30 - 34,FEMALE,10241721
2011,30 - 34,MALE,10274014
2011,35 - 39,FEMALE,9843250
2011,35 - 39,MALE,9755172
2011,40 - 44,FEMALE,10577594
2011,40 - 44,MALE,10457765
2011,45 - 49,FEMALE,11211705
2011,45 - 49,MALE,10950307
2011,50 - 54,FEMALE,11498174
